Image_Index,True_Label,Label_Name,Identify_Description,Identify_Result,IsCorrect,API Processing Time
Image 501,5,dog,dog,5,TRUE,1.46 seconds
Image 502,8,ship,ship,8,True,1.40 seconds
Image 503,2,bird,bird,2,True,1.43 seconds
Image 504,8,ship,ship,8,True,1.42 seconds
Image 505,0,airplane,airplane,0,True,1.42 seconds
Image 506,4,deer,deer,4,True,1.51 seconds
Image 507,1,automobile,automobile,1,True,2.26 seconds
Image 508,8,ship,ship,8,True,1.38 seconds
Image 509,9,truck,truck,9,True,1.34 seconds
Image 510,8,ship,ship,8,True,1.44 seconds
Image 511,2,bird,bird,2,True,1.35 seconds
Image 512,9,truck,truck,9,True,1.40 seconds
Image 513,9,truck,truck,9,True,1.41 seconds
Image 514,2,bird,bird,2,True,1.41 seconds
Image 515,7,horse,horse,7,True,1.39 seconds
Image 516,5,dog,dog,5,True,1.43 seconds
Image 517,7,horse,horse,7,True,1.40 seconds
Image 518,3,cat,dog,5,False,1.37 seconds
Image 519,8,ship,ship,8,True,1.42 seconds
Image 520,8,ship,ship,8,True,1.45 seconds
Image 521,4,deer,deer,4,True,1.41 seconds
Image 522,4,deer,dog,5,False,1.34 seconds
Image 523,2,bird,bird,2,True,1.60 seconds
Image 524,7,horse,horse,7,True,1.41 seconds
Image 525,1,automobile,automobile,1,True,1.39 seconds
Image 526,6,frog,frog,6,True,1.38 seconds
Image 527,4,deer,deer,4,True,1.35 seconds
Image 528,0,airplane,airplane,0,True,1.40 seconds
Image 529,4,deer,deer,4,True,1.34 seconds
Image 530,6,frog,cat,3,False,1.22 seconds
Image 531,9,truck,truck,9,True,1.31 seconds
Image 532,7,horse,horse,7,True,1.34 seconds
Image 533,6,frog,frog,6,True,1.51 seconds
Image 534,2,bird,bird,2,True,1.41 seconds
Image 535,5,dog,dog,5,True,1.27 seconds
Image 536,5,dog,dog,5,True,1.37 seconds
Image 537,1,automobile,automobile,1,True,1.42 seconds
Image 538,7,horse,horse,7,True,1.36 seconds
Image 539,2,bird,bird,2,True,1.41 seconds
Image 540,2,bird,bird,2,True,1.41 seconds
Image 541,2,bird,bird,2,True,1.43 seconds
Image 542,9,truck,truck,9,True,1.64 seconds
Image 543,5,dog,dog,5,True,1.83 seconds
Image 544,4,deer,deer,4,True,1.34 seconds
Image 545,2,bird,bird,2,True,1.74 seconds
Image 546,7,horse,horse,7,True,1.48 seconds
Image 547,8,ship,ship,8,True,1.40 seconds
Image 548,1,automobile,automobile,1,True,1.36 seconds
Image 549,3,cat,cat,3,True,1.42 seconds
Image 550,4,deer,deer,4,True,1.33 seconds
Image 551,3,cat,cat,3,True,1.36 seconds
Image 552,7,horse,horse,7,True,1.47 seconds
Image 553,6,frog,frog,6,True,1.43 seconds
Image 554,9,truck,airplane,0,False,1.33 seconds
Image 555,8,ship,ship,8,True,1.27 seconds
Image 556,0,airplane,dog,5,False,1.39 seconds
Image 557,6,frog,frog,6,True,1.40 seconds
Image 558,0,airplane,bird,2,False,1.44 seconds
Image 559,2,bird,bird,2,True,1.80 seconds
Image 560,2,bird,bird,2,True,1.37 seconds
Image 561,2,bird,bird,2,True,1.31 seconds
Image 562,1,automobile,automobile,1,True,1.40 seconds
Image 563,8,ship,ship,8,True,1.33 seconds
Image 564,4,deer,deer,4,True,1.32 seconds
Image 565,0,airplane,airplane,0,True,1.33 seconds
Image 566,1,automobile,automobile,1,True,1.32 seconds
Image 567,8,ship,ship,8,True,1.45 seconds
Image 568,8,ship,ship,8,True,1.44 seconds
Image 569,1,automobile,automobile,1,True,1.22 seconds
Image 570,5,dog,dog,5,True,1.38 seconds
Image 571,7,horse,horse,7,True,1.88 seconds
Image 572,6,frog,frog,6,True,1.40 seconds
Image 573,4,deer,deer,4,True,1.32 seconds
Image 574,5,dog,dog,5,True,1.49 seconds
Image 575,8,ship,ship,8,True,1.31 seconds
Image 576,7,horse,horse,7,True,1.29 seconds
Image 577,1,automobile,automobile,1,True,1.36 seconds
Image 578,9,truck,truck,9,True,1.35 seconds
Image 579,1,automobile,automobile,1,True,1.41 seconds
Image 580,9,truck,truck,9,True,1.46 seconds
Image 581,8,ship,ship,8,True,1.29 seconds
Image 582,4,deer,deer,4,True,1.37 seconds
Image 583,7,horse,horse,7,True,1.29 seconds
Image 584,3,cat,cat,3,True,1.27 seconds
Image 585,8,ship,cat,3,False,1.38 seconds
Image 586,8,ship,ship,8,True,1.44 seconds
Image 587,2,bird,bird,2,True,1.38 seconds
Image 588,6,frog,frog,6,True,1.37 seconds
Image 589,6,frog,frog,6,True,1.40 seconds
Image 590,7,horse,horse,7,True,1.43 seconds
Image 591,1,automobile,automobile,1,True,1.34 seconds
Image 592,6,frog,cat,3,False,1.34 seconds
Image 593,8,ship,ship,8,True,1.49 seconds
Image 594,1,automobile,automobile,1,True,1.52 seconds
Image 595,9,truck,truck,9,True,1.35 seconds
Image 596,7,horse,horse,7,True,1.37 seconds
Image 597,8,ship,ship,8,True,1.32 seconds
Image 598,3,cat,cat,3,True,1.35 seconds
Image 599,0,airplane,airplane,0,True,1.39 seconds
Image 600,1,automobile,automobile,1,True,1.83 seconds
Image 601,0,airplane,airplane,0,True,1.36 seconds
Image 602,8,ship,ship,8,True,1.41 seconds
Image 603,8,ship,ship,8,True,1.36 seconds
Image 604,3,cat,cat,3,True,1.37 seconds
Image 605,0,airplane,airplane,0,True,1.31 seconds
Image 606,0,airplane,airplane,0,True,2.12 seconds
Image 607,1,automobile,automobile,1,True,1.44 seconds
Image 608,5,dog,dog,5,True,1.31 seconds
Image 609,0,airplane,airplane,0,True,1.79 seconds
Image 610,8,ship,ship,8,True,1.33 seconds
Image 611,8,ship,ship,8,True,1.36 seconds
Image 612,7,horse,horse,7,True,1.31 seconds
Image 613,9,truck,truck,9,True,1.33 seconds
Image 614,9,truck,truck,9,True,1.32 seconds
Image 615,0,airplane,airplane,0,True,2.39 seconds
Image 616,9,truck,truck,9,True,1.42 seconds
Image 617,4,deer,deer,4,True,1.35 seconds
Image 618,1,automobile,automobile,1,True,1.44 seconds
Image 619,3,cat,cat,3,True,1.34 seconds
Image 620,6,frog,frog,6,True,1.33 seconds
Image 621,6,frog,cat,3,False,1.34 seconds
Image 622,4,deer,bird,2,False,1.32 seconds
Image 623,4,deer,deer,4,True,1.43 seconds
Image 624,7,horse,horse,7,True,1.33 seconds
Image 625,5,dog,dog,5,True,1.44 seconds
Image 626,6,frog,cat,3,False,1.41 seconds
Image 627,0,airplane,airplane,0,True,1.34 seconds
Image 628,8,ship,ship,8,True,1.36 seconds
Image 629,0,airplane,airplane,0,True,1.31 seconds
Image 630,3,cat,cat,3,True,2.10 seconds
Image 631,2,bird,bird,2,True,2.51 seconds
